Accelerometer LUA_ accX;InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit BACK accZ;InertialMeasurementUnit BACK magneticY;Accelerometer RKN_ accX;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE EuY
-63.0;0;18;-14;88.0;-431.0;-86.0;6;14;533.0;18;-42
-85.0;-3;-11;2;-25.0;-438.0;-108.0;-4;-2;524.0;-11;-42
?;-4;20;0;204.0;-439.0;-103.0;-4;0;519.0;20;?
-80.0;0;29;?;37.0;?;-115.0;2;-19;517.0;29;-42
-67.0;?;?;15;93.0;?;-168.0;-1;?;517.0;?;-42
-266.0;1;12;?;84.0;?;-154.0;-1;?;515.0;12;-42
?;-3;?;-4;46.0;-441.0;-142.0;1;4;513.0;8;-42
-533.0;3;-19;-46;63.0;-441.0;-140.0;3;46;511.0;-19;-42
-528.0;-4;9;-23;93.0;-437.0;?;?;23;510.0;9;-42
764.0;-4;-49;?;-18.0;-406.0;-87.0;-2;37;?;-49;-42
711.0;4;-11;-21;-31.0;-410.0;-78.0;-5;21;504.0;-11;-42
628.0;6;-14;22;-12.0;-408.0;-94.0;-1;-22;506.0;-14;-42
468.0;2;-20;23;-31.0;-411.0;-95.0;-2;-23;505.0;-20;-42
?;3;26;33;-50.0;-409.0;-131.0;-9;-33;504.0;26;-42
277.0;0;-1;-2;-39.0;-411.0;-134.0;?;?;505.0;-1;-42
183.0;-2;-4;-33;-52.0;-411.0;-151.0;1;33;506.0;?;-42
116.0;?;12;-17;-60.0;-409.0;?;-3;17;506.0;12;-42
80.0;2;0;-10;-50.0;-406.0;-126.0;-2;10;?;0;-42
23.0;0;?;-4;-64.0;-403.0;-144.0;-1;4;510.0;-13;-42
-48.0;-1;8;27;?;-407.0;-136.0;-6;-27;511.0;8;-42
-120.0;1;20;?;-100.0;-409.0;-99.0;-6;-10;516.0;20;-42
-115.0;4;-17;-23;?;-411.0;-102.0;-2;23;515.0;-17;-42
-148.0;-3;3;5;?;-415.0;-95.0;1;-5;518.0;3;-42
