InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit LLA gyroZ;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE AngVelBodyFrameY
-1;25;0;9.0;2.0;66;6;368;-6;25
5;18;4;30.0;54.0;72;-31;383;31;18
2;-17;-9;25.0;-21.0;65;-10;386;10;-17
2;31;-4;-3.0;79.0;69;1;385;-1;31
-4;-21;2;-2.0;13.0;71;-4;385;4;-21
4;-14;-4;23.0;42.0;67;1;373;-1;-14
-5;15;7;-17.0;37.0;69;-38;382;38;15
-2;-6;-3;68.0;54.0;62;9;392;-9;-6
0;9;-5;15.0;81.0;70;-21;388;21;9
7;1;-5;115.0;3.0;70;-12;386;12;1
7;3;-4;110.0;12.0;70;-16;386;16;3
-3;8;-2;30.0;6.0;67;19;386;-19;8
-3;-10;1;32.0;59.0;70;15;378;-15;-10
4;24;1;44.0;34.0;72;-25;375;25;24
3;11;-2;-3.0;-11.0;74;-37;388;37;11
1;4;5;11.0;28.0;70;15;373;-15;4
-1;-13;4;6.0;26.0;70;-12;374;12;-13
-3;0;4;25.0;98.0;69;9;396;-9;0
-30;13;-1;27.0;33.0;114;1;542;-1;13
1;14;-5;-5.0;43.0;69;-34;384;34;14
4;19;-1;60.0;-4.0;73;46;398;-46;19
0;33;-4;22.0;53.0;65;-3;388;3;33
-2;-15;1;39.0;-7.0;76;-9;372;9;-15
9;40;1;5.0;4.0;70;-29;404;29;40
-1;-8;-4;29.0;29.0;71;-17;409;17;-8
-2;24;6;28.0;-20.0;66;-25;404;25;24
8;10;3;44.0;0.0;68;25;404;-25;10
3;10;4;12.0;60.0;73;-16;402;16;10
10;-22;3;18.0;44.0;68;-6;382;6;-22
9;4;3;15.0;69.0;71;-23;403;23;4
0;21;4;13.0;66.0;68;-20;405;20;21
6;13;4;32.0;-2.0;73;-9;383;9;13
3;5;1;48.0;19.0;70;21;406;-21;5
7;5;4;15.0;65.0;60;-16;407;16;5
3;-4;0;4.0;39.0;67;-9;386;9;-4
-4;-7;-4;-6.0;53.0;71;4;381;-4;-7
-1;-9;2;58.0;23.0;67;5;375;-5;-9
-4;2;7;111.0;27.0;64;26;401;-26;2
6;-17;2;22.0;-16.0;72;36;400;-36;-17
-1;21;6;50.0;18.0;67;-30;378;30;21
-5;-17;4;-16.0;20.0;70;-6;382;6;-17
1;7;-4;21.0;25.0;76;-26;383;26;7
-6;-20;-1;44.0;47.0;68;-5;386;5;-20
1;3;-3;32.0;-9.0;67;2;373;-2;3
-6;-19;2;65.0;31.0;68;8;384;-8;-19
4;-12;0;-8.0;4.0;69;-9;385;9;-12
6;5;0;75.0;-11.0;71;-6;386;6;5
-6;18;3;18.0;44.0;67;-5;366;5;18
3;3;-2;-39.0;16.0;74;-17;388;17;3
-6;-26;2;37.0;6.0;71;22;390;-22;-26
-3;5;0;72.0;53.0;74;-39;397;39;5
4;24;-1;101.0;-35.0;70;-5;399;5;24
-4;19;2;-2.0;75.0;72;9;390;-9;19
2;10;6;42.0;33.0;75;-43;384;43;10
4;12;-4;20.0;63.0;69;-26;393;26;12
3;1;-2;88.0;13.0;65;-8;369;8;1
-6;19;2;82.0;12.0;74;-17;389;17;19
0;0;-3;60.0;39.0;65;-23;371;23;0
-6;23;0;35.0;36.0;71;-16;391;16;23
-5;-13;0;33.0;48.0;76;-15;390;15;-13
2;-25;-4;57.0;24.0;71;-7;391;7;-25
-2;-1;0;36.0;51.0;64;15;367;-15;-1
4;12;-4;27.0;55.0;68;6;374;-6;12
7;14;-3;7.0;34.0;68;-32;372;32;14
-5;3;1;69.0;38.0;66;-4;366;4;3
5;16;0;71.0;15.0;64;18;369;-18;16
2;21;1;50.0;40.0;66;-19;365;19;21
-9;-6;2;-35.0;51.0;65;-11;390;11;-6
-8;3;6;54.0;98.0;105;-82;563;82;3
-4;-23;2;44.0;91.0;71;6;381;-6;-23
1;15;4;-39.0;60.0;67;-8;362;8;15
3;15;-4;65.0;81.0;72;-3;368;3;15
-3;4;-3;-22.0;42.0;64;14;370;-14;4
3;17;2;22.0;-9.0;69;-26;362;26;17
2;6;-6;-28.0;69.0;68;-20;370;20;6
3;24;11;153.0;-68.0;69;-69;396;69;24
0;-46;0;82.0;23.0;68;-4;364;4;-46
30;103;-34;15.0;165.0;51;-4;414;4;103
-2;-40;6;4.0;80.0;73;-3;381;3;-40
2;41;-1;-22.0;31.0;74;-36;384;36;41
-8;-23;1;50.0;154.0;72;-33;385;33;-23
4;21;0;87.0;-11.0;69;-34;365;34;21
1;-32;-4;4.0;59.0;66;-22;369;22;-32
2;11;3;39.0;85.0;69;12;360;-12;11
0;35;-2;19.0;64.0;67;-5;365;5;35
1;21;4;-57.0;121.0;65;-5;363;5;21
-4;3;-5;31.0;90.0;71;0;369;0;3
-1;-28;4;61.0;73.0;69;-33;365;33;-28
0;-30;-5;54.0;95.0;68;31;391;-31;-30
3;25;-5;22.0;99.0;68;36;372;-36;25
-9;-27;4;-9.0;-27.0;65;-28;373;28;-27
-7;4;-3;86.0;108.0;68;10;375;-10;4
-1;-33;-1;24.0;36.0;65;37;372;-37;-33
2;-23;0;16.0;107.0;71;-27;369;27;-23
6;-2;-6;37.0;-91.0;69;-23;374;23;-2
-2;-8;-3;15.0;66.0;67;51;393;-51;-8
2;-16;0;77.0;91.0;67;-29;371;29;-16
-1;-26;-3;43.0;-43.0;65;2;370;-2;-26
-4;-34;2;1.0;35.0;62;4;391;-4;-34
-15;-6;-14;49.0;119.0;55;30;408;-30;-6
2;2;2;126.0;77.0;68;0;373;0;2
58;267;-16;112.0;-114.0;128;-19;452;19;267
0;7;2;17.0;111.0;66;-32;369;32;7
3;34;6;25.0;24.0;61;2;362;-2;34
4;99;15;-133.0;-32.0;52;41;395;-41;99
2;-17;4;122.0;24.0;70;-62;360;62;-17
-8;7;-5;35.0;-98.0;73;0;391;0;7
