InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit RUA gyroY;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit RLA gyroX
10.0;-1.0;6.0;-7;24.0;733;-7;24.0;31.0
5.0;10.0;-8.0;12;-50.0;716;12;-16.0;-3.0
5.0;37.0;-26.0;-23;-39.0;734;-23;-18.0;-25.0
2.0;-8.0;-30.0;16;-30.0;723;16;-5.0;-1.0
-22.0;65.0;17.0;10;-61.0;732;10;-87.0;-59.0
-32.0;-24.0;-39.0;-19;-12.0;730;-19;206.0;180.0
32.0;-669.0;-269.0;12;-286.0;708;12;-488.0;-257.0
10.0;-3.0;-58.0;-8;-1.0;727;-8;74.0;-91.0
7.0;19.0;4.0;3;-14.0;641;3;-11.0;5.0
15.0;17.0;4.0;11;-47.0;723;11;7.0;39.0
-21.0;9.0;-21.0;12;-12.0;726;12;20.0;-31.0
27.0;34.0;5.0;-4;-41.0;722;-4;6.0;-10.0
-21.0;-18.0;-23.0;-10;-28.0;648;-10;37.0;30.0
55.0;337.0;120.0;-1;54.0;737;-1;-10.0;-217.0
-23.0;-35.0;-200.0;2;-154.0;729;2;16.0;-2.0
-113.0;180.0;-111.0;-3;15.0;729;-3;36.0;-5.0
-51.0;-5.0;-18.0;-13;-10.0;643;-13;1.0;-7.0
-3.0;35.0;-13.0;-24;-11.0;635;-24;-13.0;-25.0
5.0;89.0;-11.0;8;-1.0;649;8;-25.0;3.0
149.0;-70.0;222.0;-22;-32.0;644;-22;29.0;-37.0
-13.0;24.0;-23.0;1;-21.0;649;1;-10.0;-10.0
173.0;-280.0;-26.0;-18;78.0;706;-18;-12.0;-107.0
-11.0;-17.0;1.0;-2;-33.0;647;-2;-1.0;33.0
-30.0;-132.0;-481.0;-36;48.0;630;-36;132.0;-6.0
-37.0;43.0;-43.0;-23;-108.0;725;-23;-114.0;-128.0
39.0;29.0;-60.0;42;665.0;721;42;405.0;354.0
-9.0;18.0;-27.0;-10;-55.0;648;-10;-21.0;-4.0
-14.0;-50.0;519.0;-2;-42.0;640;-2;16.0;258.0
-9.0;18.0;-34.0;1;-15.0;644;1;-16.0;16.0
-20.0;7.0;-22.0;-22;11.0;734;-22;-2.0;-35.0
4.0;9.0;-11.0;-9;-46.0;642;-9;-6.0;-19.0
67.0;-11.0;34.0;8;-164.0;645;8;9.0;16.0
-7.0;19.0;-9.0;-11;-23.0;644;-11;-10.0;-9.0
