InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit BACK gyroZ;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1;Accelerometer BACK accX
25.0;-410.0;-607.0;-4;-108.0;-339.0;660.0;77.0;272.0;-417.0;35.0
130.0;-397.0;-562.0;0;-152.0;-517.0;580.0;-88.0;245.0;-548.0;146.0
115.0;-399.0;-532.0;3;-220.0;-623.0;601.0;-19.0;256.0;-481.0;106.0
-23.0;-171.0;-459.0;-134;-179.0;-674.0;378.0;69.0;225.0;-138.0;84.0
-262.0;-166.0;-442.0;-2;-177.0;-668.0;370.0;40.0;211.0;-164.0;63.0
106.0;283.0;207.0;14;533.0;88.0;-549.0;-21.0;-686.0;323.0;80.0
-135.0;-163.0;-443.0;79;-185.0;-667.0;379.0;-92.0;216.0;-183.0;13.0
-3.0;-392.0;-622.0;-2;-63.0;-454.0;286.0;19.0;198.0;-154.0;211.0
802.0;-414.0;-391.0;-69;-555.0;-530.0;725.0;114.0;576.0;-577.0;244.0
19.0;-384.0;-636.0;2;-69.0;-462.0;293.0;-21.0;198.0;-156.0;228.0
129.0;-106.0;-304.0;143;137.0;-64.0;-83.0;112.0;-13.0;-329.0;64.0
253.0;-167.0;-316.0;-38;107.0;-240.0;61.0;104.0;-74.0;-292.0;-20.0
-19.0;-137.0;-305.0;29;107.0;-274.0;85.0;-19.0;-78.0;-274.0;95.0
-142.0;-101.0;-294.0;-38;94.0;-263.0;80.0;-85.0;-50.0;-271.0;55.0
121.0;-71.0;-308.0;227;98.0;-167.0;2.0;-26.0;-11.0;-283.0;89.0
168.0;-71.0;-309.0;198;107.0;-167.0;0.0;-16.0;-23.0;-277.0;126.0
-212.0;-81.0;-348.0;7;83.0;-227.0;53.0;-79.0;27.0;-273.0;70.0
-281.0;-68.0;-316.0;-28;59.0;-249.0;71.0;153.0;32.0;-276.0;64.0
40.0;-45.0;-291.0;47;54.0;-271.0;92.0;1.0;28.0;-271.0;78.0
76.0;-52.0;-306.0;335;84.0;-250.0;69.0;-79.0;8.0;-253.0;15.0
-102.0;-56.0;-284.0;-269;110.0;-278.0;79.0;33.0;-1.0;-230.0;220.0
-146.0;-42.0;-279.0;-49;121.0;-248.0;55.0;26.0;-4.0;-235.0;208.0
-73.0;-31.0;-279.0;89;104.0;-219.0;32.0;91.0;14.0;-256.0;112.0
-54.0;-31.0;-280.0;77;96.0;-219.0;35.0;120.0;19.0;-260.0;105.0
-153.0;-36.0;-281.0;48;60.0;-243.0;59.0;-14.0;34.0;-276.0;29.0
-96.0;-35.0;-282.0;16;48.0;-255.0;72.0;-61.0;39.0;-281.0;36.0
-75.0;-35.0;-288.0;40;30.0;-283.0;98.0;-82.0;49.0;-291.0;43.0
-45.0;-45.0;-298.0;28;12.0;-282.0;107.0;-7.0;75.0;-294.0;13.0
-74.0;-47.0;-301.0;27;6.0;-292.0;118.0;-3.0;77.0;-298.0;18.0
-4.0;-36.0;-301.0;111;2.0;-320.0;140.0;-77.0;70.0;-301.0;69.0
-71.0;-92.0;-366.0;-24;22.0;-384.0;188.0;130.0;58.0;-282.0;189.0
42.0;-76.0;-354.0;-7;28.0;-391.0;192.0;74.0;57.0;-275.0;173.0
