Accelerometer RUA^ accZ;InertialMeasurementUnit RUA accX;Accelerometer RUA^ accY;Accelerometer LUA^ accX;Accelerometer RUA_ accY;InertialMeasurementUnit RLA accX;InertialMeasurementUnit RLA magneticX;Accelerometer RKN^ accX;Accelerometer RWR accY;InertialMeasurementUnit LLA magneticY;Accelerometer BACK accY
335.0;-809.0;1346.0;132.0;964.0;-690.0;1035.0;386.0;1040.0;845.0;1008.0
184.0;-955.0;988.0;355.0;734.0;-924.0;152.0;124.0;629.0;220.0;833.0
120.0;-888.0;1087.0;277.0;1008.0;-654.0;910.0;300.0;745.0;-35.0;785.0
11.0;-1091.0;1094.0;729.0;928.0;-801.0;666.0;372.0;693.0;-193.0;-376.0
504.0;-873.0;968.0;628.0;523.0;-668.0;233.0;235.0;229.0;104.0;525.0
-139.0;-1165.0;1015.0;173.0;808.0;-403.0;125.0;221.0;645.0;113.0;683.0
158.0;-987.0;1110.0;525.0;955.0;-814.0;969.0;241.0;745.0;-549.0;41.0
174.0;-1000.0;1067.0;365.0;1029.0;-902.0;54.0;-17.0;732.0;459.0;848.0
178.0;-870.0;1070.0;211.0;915.0;-772.0;-138.0;195.0;734.0;112.0;862.0
318.0;-780.0;886.0;303.0;784.0;-660.0;113.0;383.0;691.0;317.0;978.0
275.0;-833.0;1280.0;267.0;935.0;-643.0;498.0;321.0;909.0;758.0;1307.0
222.0;-961.0;1048.0;287.0;988.0;-840.0;72.0;151.0;710.0;369.0;859.0
214.0;-945.0;1042.0;321.0;953.0;-821.0;63.0;205.0;736.0;382.0;837.0
240.0;-921.0;1045.0;315.0;951.0;-799.0;60.0;149.0;749.0;393.0;829.0
221.0;-954.0;1055.0;313.0;989.0;-831.0;70.0;188.0;754.0;473.0;838.0
310.0;-953.0;1060.0;295.0;977.0;-812.0;258.0;192.0;749.0;466.0;894.0
77.0;-996.0;1135.0;566.0;990.0;-827.0;-219.0;97.0;743.0;620.0;558.0
270.0;-976.0;1068.0;293.0;1008.0;-844.0;265.0;188.0;745.0;437.0;876.0
275.0;-970.0;1070.0;285.0;980.0;-841.0;270.0;198.0;766.0;442.0;869.0
246.0;-970.0;1080.0;292.0;1000.0;-839.0;269.0;180.0;768.0;439.0;874.0
255.0;-984.0;1066.0;334.0;984.0;-859.0;212.0;202.0;712.0;545.0;885.0
269.0;-974.0;1088.0;303.0;986.0;-840.0;251.0;205.0;761.0;443.0;857.0
274.0;-970.0;1088.0;437.0;1009.0;-842.0;255.0;163.0;726.0;508.0;912.0
201.0;-960.0;1070.0;381.0;864.0;-920.0;464.0;116.0;839.0;412.0;1017.0
192.0;-951.0;1090.0;384.0;997.0;-838.0;96.0;233.0;782.0;554.0;830.0
253.0;-821.0;1473.0;379.0;970.0;-683.0;348.0;306.0;1120.0;160.0;730.0
549.0;-898.0;936.0;392.0;554.0;-337.0;-243.0;162.0;111.0;518.0;840.0
256.0;-968.0;1110.0;430.0;757.0;-378.0;34.0;239.0;396.0;345.0;807.0
209.0;-988.0;932.0;287.0;959.0;-837.0;280.0;272.0;614.0;217.0;801.0
201.0;-884.0;1015.0;318.0;681.0;38.0;-293.0;192.0;414.0;177.0;789.0
266.0;-944.0;1088.0;459.0;949.0;-821.0;34.0;161.0;769.0;171.0;894.0
