InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit LUA magneticY;InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit L-SHOE EuX;InertialMeasurementUnit LUA Quaternion1;InertialMeasurementUnit RUA accZ;InertialMeasurementUnit BACK magneticZ;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RUA_ accZ
-150;32.0;-90.0;14;-275.0;224.0;-749.0;266.0;-373.0;787;163.0
-160;369.0;-294.0;-2;-69.0;186.0;108.0;211.0;-73.0;803;177.0
-159;284.0;-214.0;116;-726.0;85.0;310.0;190.0;-650.0;795;74.0
-159;241.0;-198.0;116;-727.0;66.0;320.0;173.0;-641.0;794;89.0
-167;361.0;-633.0;-151;-760.0;171.0;-49.0;701.0;-703.0;743;84.0
-160;34.0;-543.0;-134;-839.0;270.0;166.0;677.0;-740.0;780;91.0
-129;226.0;-564.0;138;-819.0;51.0;0.0;663.0;-757.0;1486;-81.0
-178;575.0;-443.0;-108;-477.0;87.0;171.0;540.0;-317.0;793;94.0
-162;305.0;-466.0;-20;-699.0;353.0;109.0;634.0;-761.0;673;128.0
-123;345.0;-651.0;145;-741.0;161.0;319.0;717.0;-729.0;2391;-41.0
-156;215.0;-192.0;-85;-84.0;89.0;-270.0;269.0;78.0;790;-238.0
-165;156.0;-230.0;-152;-377.0;104.0;21.0;498.0;-543.0;782;54.0
-168;-35.0;-139.0;-25;-202.0;415.0;-44.0;458.0;-473.0;1039;104.0
-31;418.0;143.0;-63;-115.0;125.0;-252.0;-46.0;-189.0;3603;5.0
-159;55.0;-71.0;-11;-178.0;144.0;-64.0;405.0;-448.0;456;165.0
-161;-177.0;-85.0;1;-221.0;126.0;-641.0;36.0;-397.0;801;-65.0
-145;350.0;-83.0;-158;-303.0;135.0;-130.0;450.0;-425.0;787;-52.0
-131;-15.0;139.0;-133;68.0;182.0;-515.0;-87.0;-186.0;664;-86.0
-146;-76.0;-613.0;130;-777.0;183.0;80.0;669.0;-777.0;778;115.0
-163;-115.0;-48.0;1;-178.0;44.0;-606.0;-21.0;-343.0;693;-20.0
-163;-78.0;-25.0;1;-159.0;-26.0;-586.0;-51.0;-343.0;676;96.0
184;-438.0;-278.0;23;16.0;212.0;-674.0;95.0;-191.0;804;456.0
-167;193.0;113.0;-46;46.0;133.0;-350.0;-284.0;-130.0;802;197.0
-164;-168.0;-72.0;46;-211.0;272.0;-605.0;111.0;-436.0;807;269.0
168;351.0;-132.0;72;-64.0;185.0;-257.0;-30.0;176.0;809;231.0
168;363.0;-132.0;69;-64.0;138.0;-247.0;-29.0;186.0;800;195.0
171;430.0;-212.0;-34;-104.0;187.0;113.0;88.0;-59.0;842;217.0
-11;413.0;-268.0;-46;-64.0;254.0;92.0;203.0;-2.0;618;14.0
-132;409.0;-267.0;-46;-102.0;195.0;96.0;187.0;0.0;762;44.0
178;589.0;-331.0;94;-466.0;44.0;217.0;228.0;-276.0;684;176.0
-159;184.0;-598.0;99;-537.0;143.0;233.0;512.0;-725.0;798;39.0
-159;199.0;-597.0;99;-536.0;128.0;234.0;512.0;-720.0;800;22.0
-159;244.0;-581.0;99;-669.0;148.0;258.0;598.0;-728.0;799;38.0
-161;367.0;-556.0;140;-765.0;111.0;259.0;745.0;-681.0;788;80.0
177;590.0;-367.0;-41;-448.0;204.0;232.0;268.0;-294.0;810;190.0
-164;-165.0;-70.0;47;-222.0;284.0;-605.0;109.0;-455.0;809;311.0
-169;599.0;-475.0;-108;-603.0;294.0;294.0;718.0;-373.0;796;63.0
-159;90.0;-28.0;-37;-171.0;79.0;-339.0;208.0;81.0;875;-311.0
-162;2.0;31.0;-37;-156.0;-44.0;-419.0;166.0;97.0;575;-217.0
-158;-18.0;-25.0;-122;-125.0;239.0;-487.0;197.0;-157.0;799;-72.0
-158;-19.0;-42.0;-123;-165.0;215.0;-491.0;213.0;-186.0;786;-70.0
-158;-20.0;-57.0;-93;-221.0;372.0;-483.0;240.0;-219.0;789;48.0
-157;-27.0;-76.0;-24;-269.0;198.0;-441.0;263.0;-229.0;788;-61.0
-157;-24.0;-78.0;-24;-271.0;199.0;-440.0;265.0;-231.0;787;-56.0
-157;-27.0;-81.0;-24;-274.0;203.0;-440.0;270.0;-234.0;783;-45.0
-157;-38.0;-89.0;-24;-282.0;208.0;-445.0;279.0;-243.0;783;-16.0
-157;-74.0;-120.0;-24;-313.0;246.0;-468.0;317.0;-250.0;787;-29.0
-157;-128.0;-143.0;-24;-345.0;306.0;-472.0;374.0;-223.0;783;-65.0
-157;-132.0;-145.0;-24;-357.0;329.0;-472.0;382.0;-224.0;781;-44.0
-158;-38.0;-48.0;-24;-205.0;235.0;-476.0;228.0;-313.0;777;-109.0
-156;-154.0;-151.0;-24;-239.0;181.0;-552.0;327.0;-402.0;791;102.0
-156;-62.0;-148.0;-27;-311.0;178.0;-580.0;302.0;-420.0;792;112.0
-168;-53.0;75.0;-37;-138.0;-85.0;-401.0;121.0;-116.0;678;-6.0
-169;-55.0;75.0;-37;-140.0;-122.0;-406.0;124.0;-111.0;678;-66.0
-158;21.0;-59.0;-20;-280.0;-95.0;-455.0;241.0;-217.0;893;-79.0
-141;-5.0;-69.0;-20;-286.0;-6.0;-450.0;284.0;-309.0;613;60.0
-168;-225.0;-155.0;36;-300.0;-229.0;-554.0;301.0;-348.0;535;-370.0
