Accelerometer LUA_ accZ;Accelerometer LUA_ accY;InertialMeasurementUnit LUA accY;Accelerometer LWR accY;Accelerometer LH accY;Accelerometer RWR accZ;InertialMeasurementUnit LLA accX;InertialMeasurementUnit LLA accY;Accelerometer LWR accZ
595.0;763.0;-162.0;763.0;769.0;956.0;-683.0;-702.0;611.0
514.0;851.0;-59.0;911.0;1085.0;431.0;-982.0;-536.0;482.0
435.0;1013.0;-144.0;720.0;789.0;677.0;-873.0;-157.0;476.0
368.0;943.0;-193.0;679.0;813.0;685.0;-877.0;-111.0;523.0
645.0;801.0;-239.0;801.0;1206.0;563.0;-784.0;-514.0;407.0
701.0;588.0;-270.0;418.0;782.0;672.0;-614.0;-687.0;562.0
341.0;949.0;-181.0;765.0;820.0;578.0;-945.0;-209.0;631.0
359.0;950.0;-54.0;807.0;918.0;562.0;-1011.0;-128.0;132.0
118.0;1009.0;409.0;899.0;999.0;622.0;-1022.0;-83.0;184.0
223.0;981.0;46.0;952.0;1025.0;827.0;-984.0;-160.0;305.0
225.0;938.0;-114.0;932.0;1050.0;717.0;-958.0;-270.0;304.0
273.0;1218.0;-306.0;1047.0;1173.0;492.0;-1106.0;-552.0;306.0
308.0;997.0;-260.0;1001.0;1135.0;582.0;-1062.0;-534.0;441.0
413.0;957.0;-160.0;797.0;1017.0;606.0;-916.0;-241.0;380.0
395.0;1001.0;-217.0;899.0;1093.0;601.0;-923.0;-323.0;488.0
378.0;980.0;-225.0;871.0;1051.0;582.0;-996.0;-399.0;505.0
228.0;627.0;-187.0;787.0;803.0;546.0;-936.0;-404.0;422.0
366.0;935.0;-260.0;830.0;996.0;608.0;-929.0;-411.0;453.0
378.0;926.0;-229.0;823.0;1005.0;599.0;-915.0;-424.0;439.0
410.0;936.0;-178.0;849.0;1007.0;555.0;-961.0;-310.0;406.0
337.0;779.0;-189.0;871.0;940.0;547.0;-950.0;-355.0;463.0
361.0;923.0;-220.0;914.0;1002.0;908.0;-988.0;-367.0;327.0
475.0;836.0;-366.0;904.0;1011.0;621.0;-757.0;-376.0;463.0
420.0;920.0;-283.0;811.0;943.0;581.0;-949.0;-378.0;404.0
379.0;1001.0;-152.0;906.0;1043.0;510.0;-934.0;-359.0;380.0
339.0;976.0;-179.0;896.0;1038.0;553.0;-994.0;-323.0;404.0
416.0;905.0;-207.0;881.0;1064.0;1029.0;-891.0;-334.0;462.0
398.0;931.0;-166.0;868.0;1010.0;561.0;-936.0;-291.0;414.0
433.0;938.0;-192.0;865.0;969.0;597.0;-935.0;-311.0;404.0
362.0;952.0;-268.0;844.0;1001.0;547.0;-912.0;-396.0;456.0
330.0;993.0;-227.0;883.0;987.0;529.0;-927.0;-388.0;429.0
336.0;1007.0;-192.0;913.0;1047.0;518.0;-931.0;-369.0;405.0
320.0;971.0;-99.0;944.0;1042.0;541.0;-1014.0;-299.0;334.0
371.0;929.0;-101.0;892.0;996.0;571.0;-1011.0;-254.0;346.0
401.0;901.0;-262.0;843.0;1034.0;677.0;-927.0;-368.0;451.0
401.0;865.0;-209.0;904.0;993.0;543.0;-916.0;-358.0;373.0
458.0;863.0;-157.0;781.0;891.0;590.0;-994.0;-264.0;348.0
466.0;933.0;-240.0;830.0;1034.0;558.0;-880.0;-286.0;455.0
430.0;960.0;-293.0;885.0;1039.0;610.0;-972.0;-448.0;547.0
310.0;998.0;-187.0;846.0;1009.0;482.0;-928.0;-346.0;343.0
383.0;937.0;-156.0;989.0;1060.0;501.0;-983.0;-293.0;383.0
319.0;911.0;-156.0;927.0;976.0;520.0;-969.0;-310.0;401.0
389.0;880.0;-261.0;830.0;970.0;588.0;-927.0;-362.0;423.0
362.0;1011.0;-148.0;831.0;880.0;475.0;-779.0;-297.0;543.0
388.0;902.0;-339.0;1021.0;1350.0;497.0;-758.0;-397.0;479.0
447.0;923.0;-264.0;823.0;979.0;349.0;-924.0;-381.0;474.0
428.0;942.0;-261.0;824.0;941.0;233.0;-933.0;-378.0;448.0
445.0;904.0;-259.0;810.0;987.0;235.0;-935.0;-372.0;443.0
443.0;918.0;-267.0;830.0;980.0;242.0;-927.0;-377.0;503.0
458.0;907.0;-264.0;840.0;972.0;268.0;-936.0;-374.0;472.0
439.0;927.0;-262.0;821.0;972.0;254.0;-931.0;-364.0;483.0
457.0;914.0;-268.0;844.0;992.0;264.0;-929.0;-391.0;458.0
447.0;917.0;-271.0;847.0;996.0;295.0;-920.0;-375.0;468.0
320.0;961.0;-343.0;922.0;1054.0;608.0;-941.0;-689.0;427.0
330.0;893.0;-222.0;860.0;948.0;611.0;-989.0;-354.0;285.0
445.0;939.0;-218.0;865.0;1062.0;582.0;-975.0;-409.0;478.0
358.0;961.0;-281.0;857.0;1013.0;615.0;-970.0;-374.0;410.0
340.0;924.0;-205.0;859.0;968.0;563.0;-942.0;-337.0;366.0
385.0;958.0;-200.0;871.0;1007.0;570.0;-940.0;-299.0;383.0
411.0;916.0;-237.0;878.0;999.0;588.0;-915.0;-370.0;428.0
419.0;922.0;-211.0;840.0;998.0;597.0;-952.0;-347.0;433.0
379.0;962.0;-213.0;864.0;1014.0;269.0;-957.0;-360.0;431.0
369.0;948.0;-206.0;864.0;991.0;709.0;-941.0;-357.0;416.0
