10335;Accelerometer RUA_ accY;883.0
12848;Accelerometer BACK accX;260.0
3039;InertialMeasurementUnit LUA gyroZ;768.0
9646;InertialMeasurementUnit LUA magneticZ;188.0
1963;Accelerometer LUA_ accX;29.0
8898;Accelerometer LUA^ accX;687.0
12247;InertialMeasurementUnit L-SHOE Nav_Ax;6
6918;InertialMeasurementUnit LUA gyroZ;-28.0
11358;Accelerometer RUA^ accZ;332.0
6987;InertialMeasurementUnit RUA accX;-908.0
7582;InertialMeasurementUnit LUA Quaternion2;128.0
14486;Accelerometer RKN_ accX;-315.0
9113;InertialMeasurementUnit L-SHOE Nav_Ax;-13
4115;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;30
12800;InertialMeasurementUnit LLA Quaternion3;-604.0
12440;InertialMeasurementUnit L-SHOE Compass;172
2652;InertialMeasurementUnit LUA gyroZ;479.0
1989;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;-8
7861;InertialMeasurementUnit LUA Quaternion3;176.0
10825;InertialMeasurementUnit RLA Quaternion4;-296.0
7482;InertialMeasurementUnit L-SHOE Nav_Az;21
1122;InertialMeasurementUnit R-SHOE EuZ;-95
6197;InertialMeasurementUnit BACK accZ;148.0
10610;InertialMeasurementUnit LUA magneticZ;237.0
10012;InertialMeasurementUnit BACK accZ;25.0
7835;InertialMeasurementUnit RUA accY;-152.0
4799;InertialMeasurementUnit LLA Quaternion3;540.0
8011;InertialMeasurementUnit BACK accZ;816.0
14345;InertialMeasurementUnit L-SHOE EuZ;-179
4663;InertialMeasurementUnit R-SHOE AngVelNavFrameY;-45
5834;Accelerometer LWR accY;732.0
348;InertialMeasurementUnit LUA magneticZ;499.0
12549;InertialMeasurementUnit LUA accZ;334.0
6849;InertialMeasurementUnit LUA gyroX;-99.0
14012;InertialMeasurementUnit RUA Quaternion2;57.0
10635;InertialMeasurementUnit RUA accY;47.0
6927;Accelerometer LUA_ accX;-11.0
2177;InertialMeasurementUnit LUA magneticZ;474.0
2177;InertialMeasurementUnit RUA Quaternion1;308.0
7116;Accelerometer LUA_ accY;969.0
4697;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;36
1982;InertialMeasurementUnit LUA gyroZ;48.0
565;InertialMeasurementUnit BACK Quaternion2;343.0
13874;InertialMeasurementUnit LLA Quaternion2;-148.0
4430;InertialMeasurementUnit RUA accX;-1391.0
2003;Accelerometer RUA_ accX;264.0
10931;InertialMeasurementUnit R-SHOE Compass;-60
12965;Accelerometer LUA_ accX;282.0
8273;InertialMeasurementUnit LUA accZ;80.0
11585;InertialMeasurementUnit R-SHOE AngVelNavFrameX;5386
4161;Accelerometer RUA_ accY;878.0
5717;Accelerometer LH accX;465.0
12019;InertialMeasurementUnit BACK Quaternion1;17.0
9718;InertialMeasurementUnit BACK magneticY;21.0
9363;InertialMeasurementUnit BACK magneticY;-644.0
14352;Accelerometer RKN_ accX;-294.0
4597;InertialMeasurementUnit RUA accY;317.0
4356;InertialMeasurementUnit R-SHOE EuZ;-157
9966;InertialMeasurementUnit LLA magneticY;-418.0
3112;InertialMeasurementUnit LLA accY;-431.0
14319;InertialMeasurementUnit BACK Quaternion3;596.0
5383;Accelerometer LUA_ accX;197.0
3514;Accelerometer RUA^ accZ;321.0
1722;InertialMeasurementUnit BACK magneticY;93.0
